#,Driver,Hat-tricks,Career wins
1,Michael Schumacher (DEU),22,91
2,Lewis Hamilton (GBR) Current,19,105
3,Max Verstappen (NLD) Current,13,63
4,Jim Clark (GBR),11,25
5,Juan Manuel Fangio (ARG),9,24
6,Alain Prost (FRA),8,51
7,Sebastian Vettel (DEU),8,53
8,Alberto Ascari (ITA),7,13
9,Ayrton Senna (BRA),7,41
10,Nigel Mansell (GBR),5,31
11,Damon Hill (GBR),5,22
12,Mika Hakkinen (FIN),5,20
13,Fernando Alonso (ESP) Current,5,32
14,Stirling Moss (GBR),4,16
15,Jacky Ickx (BEL),4,8
16,Jackie Stewart (GBR),4,27
17,Felipe Massa (BRA),4,11
18,John Surtees (GBR),3,6
19,Jack Brabham (AUS),3,14
20,Niki Lauda (AUT),3,25
21,Nelson Piquet (BRA),3,23
22,Nico Rosberg (DEU),3,23
23,Graham Hill (GBR),2,14
24,James Hunt (GBR),2,10
25,Mario Andretti (USA),2,12
26,Jacques Laffite (FRA),2,6
27,Alan Jones (AUS),2,12
28,Gerhard Berger (AUT),2,10
29,Jacques Villeneuve (CAN),2,11
30,Rubens Barrichello (BRA),2,11
31,Kimi Raikkonen (FIN),2,21
32,Valtteri Bottas (FIN) Current,2,10
33,Charles Leclerc (MCO) Current,2,8
34,Giuseppe Farina (ITA),1,5
35,Bill Vukovich (USA),1,2
36,Mike Hawthorn (GBR),1,3
37,Tony Brooks (GBR),1,6
38,Phil Hill (USA),1,3
39,Jochen Rindt (AUT),1,6
40,Jo Siffert (CHE),1,2
41,Clay Regazzoni (CHE),1,5
42,Ronnie Peterson (SWE),1,10
43,Gilles Villeneuve (CAN),1,6
44,Carlos Reutemann (ARG),1,12
45,David Coulthard (GBR),1,13
46,Juan Pablo Montoya (COL),1,7
47,Jenson Button (GBR),1,15
48,Lando Norris (GBR) Current,1,3
